"cell","d","c","near","poor","design","rho","same_best","rmse_best","loss_best"
38,-0.3,5,FALSE,TRUE,"unanchored",0.2,FALSE,"gcomp","unadjusted"
39,-0.3,5,FALSE,TRUE,"anchored",0.8,FALSE,"gcomp","unadjusted"
40,-0.3,5,FALSE,TRUE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
41,-0.3,5,FALSE,TRUE,"anchored",0.974679434480896,TRUE,"gcomp","gcomp"
42,-0.3,5,FALSE,TRUE,"unanchored",0,FALSE,"gcomp","unadjusted"
43,-0.3,5,FALSE,FALSE,"anchored",0.820782681668123,TRUE,"gcomp","gcomp"
44,-0.3,5,FALSE,FALSE,"unanchored",-0.0512989176042577,FALSE,"gcomp","unadjusted"
45,-0.3,5,FALSE,FALSE,"anchored",0.8,FALSE,"gcomp","unadjusted"
46,-0.3,5,FALSE,FALSE,"unanchored",-0.52704627669473,FALSE,"gcomp","unadjusted"
47,-0.3,5,FALSE,FALSE,"anchored",0.8,FALSE,"gcomp","unadjusted"
48,-0.3,5,FALSE,FALSE,"unanchored",-0.707106781186547,FALSE,"gcomp","maic_index"
49,-0.3,5,FALSE,FALSE,"anchored",-0.1,FALSE,"gcomp","maic_meanvar"
50,-0.3,5,FALSE,FALSE,"unanchored",-0.153896752812773,FALSE,"gcomp","unadjusted"
51,-0.3,5,FALSE,FALSE,"anchored",0.5,TRUE,"gcomp","gcomp"
52,-0.3,5,FALSE,FALSE,"unanchored",-0.153896752812773,FALSE,"gcomp","unadjusted"
53,-0.3,5,FALSE,FALSE,"anchored",0.9,TRUE,"gcomp","gcomp"
54,-0.3,5,FALSE,FALSE,"unanchored",-0.111803398874989,TRUE,"maic_index","maic_index"
55,-0.3,5,FALSE,FALSE,"anchored",0.6,FALSE,"gcomp","maic_means"
56,-0.3,5,FALSE,FALSE,"unanchored",0.1,FALSE,"gcomp","maic_means"
57,-0.3,5,FALSE,FALSE,"anchored",0.66688592885535,FALSE,"gcomp","maic_means"
58,-0.3,5,FALSE,FALSE,"unanchored",-0.66688592885535,FALSE,"gcomp","maic_means"
59,-0.3,5,FALSE,FALSE,"anchored",0.894427190999916,TRUE,"gcomp","gcomp"
60,-0.3,5,FALSE,FALSE,"unanchored",NA,TRUE,"gcomp","gcomp"
61,-0.3,5,FALSE,FALSE,"anchored",0.820782681668123,TRUE,"unadjusted","unadjusted"
62,-0.3,5,FALSE,FALSE,"unanchored",0.866025403784439,FALSE,"maic_meanvar","maic_index"
63,-0.3,5,FALSE,FALSE,"anchored",0.894427190999916,TRUE,"gcomp","gcomp"
64,-0.3,5,FALSE,FALSE,"unanchored",NA,FALSE,"maic_index","gcomp"
65,-0.3,5,FALSE,FALSE,"anchored",0.205195670417031,TRUE,"gcomp","gcomp"
66,-0.3,5,FALSE,FALSE,"unanchored",0.707106781186547,FALSE,"maic_index","gcomp"
67,-0.3,5,FALSE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
68,-0.3,5,FALSE,FALSE,"unanchored",0.974679434480896,TRUE,"gcomp","gcomp"
69,-0.3,5,FALSE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
70,-0.3,5,FALSE,FALSE,"unanchored",1,TRUE,"gcomp","gcomp"
71,-0.3,5,FALSE,FALSE,"anchored",0.9,FALSE,"gcomp","maic_index"
72,-0.3,5,FALSE,FALSE,"unanchored",0.974679434480896,FALSE,"maic_index","gcomp"
73,-0.3,5,FALSE,FALSE,"anchored",0.7,FALSE,"gcomp","unadjusted"
74,-0.3,5,FALSE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
75,-0.3,5,FALSE,FALSE,"anchored",0.7,FALSE,"gcomp","unadjusted"
76,-0.3,5,FALSE,FALSE,"unanchored",-0.052704627669473,FALSE,"gcomp","maic_means"
77,-0.3,5,FALSE,FALSE,"anchored",0.7,FALSE,"gcomp","maic_means"
78,-0.3,5,FALSE,FALSE,"unanchored",0.335410196624968,TRUE,"gcomp","gcomp"
79,-0.3,5,FALSE,FALSE,"anchored",-0.359092423229804,FALSE,"gcomp","unadjusted"
80,-0.3,5,FALSE,FALSE,"unanchored",-0.670820393249937,FALSE,"gcomp","unadjusted"
81,-0.3,5,FALSE,FALSE,"anchored",0.359092423229804,FALSE,"gcomp","unadjusted"
82,-0.3,5,FALSE,FALSE,"unanchored",0,TRUE,"gcomp","gcomp"
83,-0.3,5,FALSE,FALSE,"anchored",0.894427190999916,TRUE,"gcomp","gcomp"
84,-0.3,5,FALSE,FALSE,"unanchored",NA,FALSE,"maic_means","gcomp"
85,-0.3,5,FALSE,FALSE,"anchored",0.8,FALSE,"unadjusted","gcomp"
86,-0.3,5,FALSE,FALSE,"unanchored",-0.0512989176042577,FALSE,"gcomp","unadjusted"
87,-0.3,5,FALSE,FALSE,"anchored",0.8,TRUE,"gcomp","gcomp"
88,-0.3,5,FALSE,FALSE,"unanchored",-0.0512989176042577,FALSE,"maic_index","unadjusted"
89,-0.3,5,FALSE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
90,-0.3,5,FALSE,FALSE,"unanchored",0.353553390593274,FALSE,"maic_index","gcomp"
91,-0.3,5,FALSE,TRUE,"anchored",0.8,FALSE,"gcomp","unadjusted"
92,-0.3,5,FALSE,TRUE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
93,-0.3,5,FALSE,TRUE,"anchored",0.9,FALSE,"gcomp","unadjusted"
94,-0.3,5,FALSE,TRUE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
95,-0.3,5,FALSE,TRUE,"anchored",0.8,FALSE,"gcomp","unadjusted"
96,-0.3,5,FALSE,TRUE,"unanchored",0.205195670417031,TRUE,"gcomp","gcomp"
97,-0.3,5,FALSE,FALSE,"anchored",-0.1,FALSE,"gcomp","unadjusted"
98,-0.3,5,FALSE,FALSE,"unanchored",-0.0512989176042577,FALSE,"gcomp","unadjusted"
99,-0.3,5,FALSE,FALSE,"anchored",0.9,FALSE,"gcomp","unadjusted"
100,-0.3,5,FALSE,FALSE,"unanchored",NA,TRUE,"gcomp","gcomp"
101,-0.3,5,FALSE,FALSE,"anchored",0.9,TRUE,"gcomp","gcomp"
102,-0.3,5,FALSE,FALSE,"unanchored",-0.707106781186547,FALSE,"gcomp","unadjusted"
103,-0.3,5,FALSE,FALSE,"anchored",0.9,FALSE,"gcomp","unadjusted"
104,-0.3,5,FALSE,FALSE,"unanchored",-0.2,FALSE,"gcomp","unadjusted"
105,-0.3,5,FALSE,FALSE,"anchored",0.564288093646835,FALSE,"gcomp","maic_index"
106,-0.3,5,FALSE,FALSE,"unanchored",-0.447213595499958,FALSE,"gcomp","maic_index"
107,-0.3,5,FALSE,FALSE,"anchored",0.3,TRUE,"gcomp","gcomp"
108,-0.3,5,FALSE,FALSE,"unanchored",NA,TRUE,"gcomp","gcomp"
1,-0.1,5,TRUE,FALSE,"anchored",0.66688592885535,FALSE,"gcomp","maic_means"
2,-0.1,5,TRUE,FALSE,"unanchored",0.6,FALSE,"gcomp","maic_means"
3,-0.1,5,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","maic_means"
4,-0.1,5,TRUE,FALSE,"unanchored",0.1,FALSE,"gcomp","maic_means"
5,-0.1,5,TRUE,FALSE,"anchored",0.66688592885535,FALSE,"gcomp","maic_means"
6,-0.1,5,TRUE,FALSE,"unanchored",-0.8,FALSE,"gcomp","maic_means"
7,-0.1,5,TRUE,FALSE,"anchored",0.820782681668123,TRUE,"gcomp","gcomp"
8,-0.1,5,TRUE,FALSE,"unanchored",-0.564288093646835,FALSE,"maic_index","maic_meanvar"
9,-0.1,5,TRUE,FALSE,"anchored",-0.102597835208515,FALSE,"gcomp","maic_index"
10,-0.1,5,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","maic_means"
11,-0.1,5,TRUE,FALSE,"anchored",0.447213595499958,TRUE,"gcomp","gcomp"
12,-0.1,5,TRUE,FALSE,"unanchored",0.3,FALSE,"maic_index","maic_means"
13,-0.1,5,TRUE,FALSE,"anchored",0.1,TRUE,"gcomp","gcomp"
14,-0.1,5,TRUE,FALSE,"unanchored",0.66688592885535,TRUE,"gcomp","gcomp"
15,-0.1,5,TRUE,FALSE,"anchored",0.66688592885535,TRUE,"gcomp","gcomp"
16,-0.1,5,TRUE,FALSE,"unanchored",0.974679434480896,TRUE,"gcomp","gcomp"
17,-0.1,5,TRUE,FALSE,"anchored",0.974679434480896,TRUE,"gcomp","gcomp"
18,-0.1,5,TRUE,FALSE,"unanchored",0.9,TRUE,"maic_index","maic_index"
19,-0.1,5,TRUE,FALSE,"anchored",0.9,FALSE,"gcomp","unadjusted"
20,-0.1,5,TRUE,FALSE,"unanchored",-0.7,FALSE,"gcomp","unadjusted"
21,-0.1,5,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
22,-0.1,5,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
23,-0.1,5,TRUE,FALSE,"anchored",0.7,FALSE,"gcomp","unadjusted"
24,-0.1,5,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
25,-0.1,5,TRUE,FALSE,"anchored",0.564288093646835,FALSE,"gcomp","maic_means"
26,-0.1,5,TRUE,FALSE,"unanchored",-0.66688592885535,FALSE,"gcomp","unadjusted"
27,-0.1,5,TRUE,FALSE,"anchored",0.8,FALSE,"gcomp","unadjusted"
28,-0.1,5,TRUE,FALSE,"unanchored",-0.9,FALSE,"gcomp","unadjusted"
29,-0.1,5,TRUE,FALSE,"anchored",0.9,TRUE,"gcomp","gcomp"
30,-0.1,5,TRUE,FALSE,"unanchored",0,FALSE,"maic_means","unadjusted"
31,-0.1,5,TRUE,FALSE,"anchored",-0.1,FALSE,"gcomp","maic_meanvar"
32,-0.1,5,TRUE,FALSE,"unanchored",-0.461690258438319,FALSE,"gcomp","unadjusted"
33,-0.1,5,TRUE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
34,-0.1,5,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
35,-0.1,5,TRUE,FALSE,"anchored",0.8,FALSE,"gcomp","maic_index"
36,-0.1,5,TRUE,FALSE,"unanchored",-0.1,FALSE,"maic_index","unadjusted"
37,-0.1,5,TRUE,TRUE,"anchored",0.9,FALSE,"gcomp","unadjusted"
38,-0.1,5,TRUE,TRUE,"unanchored",0.1,FALSE,"gcomp","unadjusted"
39,-0.1,5,TRUE,TRUE,"anchored",0.8,FALSE,"gcomp","unadjusted"
40,-0.1,5,TRUE,TRUE,"unanchored",-0.2,FALSE,"gcomp","unadjusted"
41,-0.1,5,TRUE,TRUE,"anchored",0.6,FALSE,"gcomp","unadjusted"
42,-0.1,5,TRUE,TRUE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
43,-0.1,5,TRUE,FALSE,"anchored",0.8,FALSE,"gcomp","unadjusted"
44,-0.1,5,TRUE,FALSE,"unanchored",-0.7,FALSE,"gcomp","unadjusted"
45,-0.1,5,TRUE,FALSE,"anchored",0.9,TRUE,"gcomp","gcomp"
46,-0.1,5,TRUE,FALSE,"unanchored",-0.7,FALSE,"gcomp","unadjusted"
47,-0.1,5,TRUE,FALSE,"anchored",0.974679434480896,TRUE,"gcomp","gcomp"
48,-0.1,5,TRUE,FALSE,"unanchored",-0.7,FALSE,"gcomp","unadjusted"
49,-0.1,5,TRUE,FALSE,"anchored",0.5,TRUE,"gcomp","gcomp"
50,-0.1,5,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
51,-0.1,5,TRUE,FALSE,"anchored",0.5,TRUE,"gcomp","gcomp"
52,-0.1,5,TRUE,FALSE,"unanchored",-0.5,FALSE,"gcomp","unadjusted"
53,-0.1,5,TRUE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
54,-0.1,5,TRUE,FALSE,"unanchored",-0.5,FALSE,"maic_index","unadjusted"
55,-0.1,5,TRUE,FALSE,"anchored",0.4,FALSE,"gcomp","unadjusted"
56,-0.1,5,TRUE,FALSE,"unanchored",0,FALSE,"gcomp","unadjusted"
57,-0.1,5,TRUE,FALSE,"anchored",0.7,FALSE,"gcomp","unadjusted"
58,-0.1,5,TRUE,FALSE,"unanchored",-0.8,FALSE,"gcomp","maic_means"
59,-0.1,5,TRUE,FALSE,"anchored",0.7,FALSE,"gcomp","unadjusted"
60,-0.1,5,TRUE,FALSE,"unanchored",-0.66688592885535,FALSE,"gcomp","maic_means"
61,-0.1,5,TRUE,FALSE,"anchored",-0.6,FALSE,"unadjusted","maic_index"
62,-0.1,5,TRUE,FALSE,"unanchored",0.974679434480896,FALSE,"maic_meanvar","maic_index"
63,-0.1,5,TRUE,FALSE,"anchored",0.66688592885535,TRUE,"gcomp","gcomp"
64,-0.1,5,TRUE,FALSE,"unanchored",1,TRUE,"maic_index","maic_index"
65,-0.1,5,TRUE,FALSE,"anchored",0.9,TRUE,"gcomp","gcomp"
66,-0.1,5,TRUE,FALSE,"unanchored",0.66688592885535,TRUE,"maic_index","maic_index"
67,-0.1,5,TRUE,FALSE,"anchored",0.4,TRUE,"gcomp","gcomp"
68,-0.1,5,TRUE,FALSE,"unanchored",0.9,FALSE,"gcomp","maic_index"
69,-0.1,5,TRUE,FALSE,"anchored",0.4,TRUE,"gcomp","gcomp"
70,-0.1,5,TRUE,FALSE,"unanchored",0.9,FALSE,"gcomp","maic_index"
71,-0.1,5,TRUE,FALSE,"anchored",0.9,TRUE,"gcomp","gcomp"
72,-0.1,5,TRUE,FALSE,"unanchored",0.9,TRUE,"maic_index","maic_index"
73,-0.1,5,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
74,-0.1,5,TRUE,FALSE,"unanchored",-0.6,FALSE,"gcomp","unadjusted"
75,-0.1,5,TRUE,FALSE,"anchored",0.5,FALSE,"gcomp","unadjusted"
76,-0.1,5,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
77,-0.1,5,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
78,-0.1,5,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
79,-0.1,5,TRUE,FALSE,"anchored",-0.1,FALSE,"gcomp","unadjusted"
80,-0.1,5,TRUE,FALSE,"unanchored",-0.7,FALSE,"gcomp","unadjusted"
81,-0.1,5,TRUE,FALSE,"anchored",-0.2,FALSE,"gcomp","unadjusted"
82,-0.1,5,TRUE,FALSE,"unanchored",-0.6,FALSE,"gcomp","unadjusted"
83,-0.1,5,TRUE,FALSE,"anchored",0.564288093646835,FALSE,"gcomp","unadjusted"
84,-0.1,5,TRUE,FALSE,"unanchored",-0.4,FALSE,"maic_means","unadjusted"
85,-0.1,5,TRUE,FALSE,"anchored",0.2,FALSE,"unadjusted","gcomp"
86,-0.1,5,TRUE,FALSE,"unanchored",0,FALSE,"gcomp","unadjusted"
87,-0.1,5,TRUE,FALSE,"anchored",0.3,TRUE,"gcomp","gcomp"
88,-0.1,5,TRUE,FALSE,"unanchored",0,FALSE,"maic_index","unadjusted"
89,-0.1,5,TRUE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
90,-0.1,5,TRUE,FALSE,"unanchored",-0.1,FALSE,"maic_index","unadjusted"
91,-0.1,5,TRUE,TRUE,"anchored",0.8,FALSE,"gcomp","unadjusted"
92,-0.1,5,TRUE,TRUE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
93,-0.1,5,TRUE,TRUE,"anchored",0.8,FALSE,"gcomp","unadjusted"
94,-0.1,5,TRUE,TRUE,"unanchored",-0.2,FALSE,"gcomp","unadjusted"
95,-0.1,5,TRUE,TRUE,"anchored",0.8,FALSE,"gcomp","unadjusted"
96,-0.1,5,TRUE,TRUE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
97,-0.1,5,TRUE,FALSE,"anchored",-0.0512989176042577,FALSE,"gcomp","unadjusted"
98,-0.1,5,TRUE,FALSE,"unanchored",-0.2,FALSE,"gcomp","unadjusted"
99,-0.1,5,TRUE,FALSE,"anchored",0.872081599272381,FALSE,"gcomp","unadjusted"
100,-0.1,5,TRUE,FALSE,"unanchored",-0.3,FALSE,"gcomp","unadjusted"
101,-0.1,5,TRUE,FALSE,"anchored",0.9,FALSE,"gcomp","unadjusted"
102,-0.1,5,TRUE,FALSE,"unanchored",-0.0512989176042577,FALSE,"gcomp","unadjusted"
103,-0.1,5,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
104,-0.1,5,TRUE,FALSE,"unanchored",-0.2,FALSE,"gcomp","unadjusted"
105,-0.1,5,TRUE,FALSE,"anchored",0.8,FALSE,"gcomp","unadjusted"
106,-0.1,5,TRUE,FALSE,"unanchored",-0.2,FALSE,"gcomp","unadjusted"
107,-0.1,5,TRUE,FALSE,"anchored",0.5,TRUE,"gcomp","gcomp"
108,-0.1,5,TRUE,FALSE,"unanchored",-1,FALSE,"gcomp","unadjusted"
1,0.1,5,TRUE,FALSE,"anchored",1,TRUE,"gcomp","gcomp"
2,0.1,5,TRUE,FALSE,"unanchored",0.1,TRUE,"gcomp","gcomp"
3,0.1,5,TRUE,FALSE,"anchored",0.1,TRUE,"gcomp","gcomp"
4,0.1,5,TRUE,FALSE,"unanchored",0.6,TRUE,"gcomp","gcomp"
5,0.1,5,TRUE,FALSE,"anchored",0.1,TRUE,"gcomp","gcomp"
6,0.1,5,TRUE,FALSE,"unanchored",0.9,TRUE,"gcomp","gcomp"
7,0.1,5,TRUE,FALSE,"anchored",0.820782681668123,TRUE,"gcomp","gcomp"
8,0.1,5,TRUE,FALSE,"unanchored",0.6,FALSE,"maic_index","gcomp"
9,0.1,5,TRUE,FALSE,"anchored",0.205195670417031,TRUE,"gcomp","gcomp"
10,0.1,5,TRUE,FALSE,"unanchored",0.3,TRUE,"gcomp","gcomp"
11,0.1,5,TRUE,FALSE,"anchored",0.872081599272381,TRUE,"gcomp","gcomp"
12,0.1,5,TRUE,FALSE,"unanchored",0,FALSE,"maic_index","gcomp"
13,0.1,5,TRUE,FALSE,"anchored",0.66688592885535,FALSE,"gcomp","maic_means"
14,0.1,5,TRUE,FALSE,"unanchored",0.1,FALSE,"gcomp","unadjusted"
15,0.1,5,TRUE,FALSE,"anchored",0.1,FALSE,"gcomp","maic_means"
16,0.1,5,TRUE,FALSE,"unanchored",-0.5,FALSE,"gcomp","maic_means"
17,0.1,5,TRUE,FALSE,"anchored",-0.6,FALSE,"gcomp","maic_means"
18,0.1,5,TRUE,FALSE,"unanchored",-0.6,FALSE,"maic_index","maic_means"
19,0.1,5,TRUE,FALSE,"anchored",0.820782681668123,TRUE,"gcomp","gcomp"
20,0.1,5,TRUE,FALSE,"unanchored",1,TRUE,"gcomp","gcomp"
21,0.1,5,TRUE,FALSE,"anchored",0.2,TRUE,"gcomp","gcomp"
22,0.1,5,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
23,0.1,5,TRUE,FALSE,"anchored",0.1,TRUE,"gcomp","gcomp"
24,0.1,5,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
25,0.1,5,TRUE,FALSE,"anchored",-0.5,FALSE,"gcomp","maic_means"
26,0.1,5,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
27,0.1,5,TRUE,FALSE,"anchored",0.670820393249937,TRUE,"gcomp","gcomp"
28,0.1,5,TRUE,FALSE,"unanchored",0.820782681668123,TRUE,"gcomp","gcomp"
29,0.1,5,TRUE,FALSE,"anchored",0.0512989176042577,TRUE,"gcomp","gcomp"
30,0.1,5,TRUE,FALSE,"unanchored",0,FALSE,"maic_means","gcomp"
31,0.1,5,TRUE,FALSE,"anchored",0.3,FALSE,"gcomp","maic_means"
32,0.1,5,TRUE,FALSE,"unanchored",0.6,FALSE,"gcomp","maic_means"
33,0.1,5,TRUE,FALSE,"anchored",0.1,FALSE,"gcomp","maic_means"
34,0.1,5,TRUE,FALSE,"unanchored",0.4,FALSE,"gcomp","maic_means"
35,0.1,5,TRUE,FALSE,"anchored",-0.3,FALSE,"gcomp","maic_means"
36,0.1,5,TRUE,FALSE,"unanchored",0.3,FALSE,"maic_index","maic_means"
37,0.1,5,TRUE,TRUE,"anchored",0.9,TRUE,"gcomp","gcomp"
38,0.1,5,TRUE,TRUE,"unanchored",0.5,TRUE,"gcomp","gcomp"
39,0.1,5,TRUE,TRUE,"anchored",0.2,TRUE,"gcomp","gcomp"
40,0.1,5,TRUE,TRUE,"unanchored",0.7,TRUE,"gcomp","gcomp"
41,0.1,5,TRUE,TRUE,"anchored",0.1,TRUE,"gcomp","gcomp"
42,0.1,5,TRUE,TRUE,"unanchored",0.6,FALSE,"gcomp","maic_index"
43,0.1,5,TRUE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
44,0.1,5,TRUE,FALSE,"unanchored",0.6,TRUE,"gcomp","gcomp"
45,0.1,5,TRUE,FALSE,"anchored",0.9,TRUE,"gcomp","gcomp"
46,0.1,5,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
47,0.1,5,TRUE,FALSE,"anchored",0.6,TRUE,"gcomp","gcomp"
48,0.1,5,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
49,0.1,5,TRUE,FALSE,"anchored",0.5,FALSE,"gcomp","unadjusted"
50,0.1,5,TRUE,FALSE,"unanchored",0.7,FALSE,"gcomp","maic_means"
51,0.1,5,TRUE,FALSE,"anchored",0.3,FALSE,"gcomp","maic_means"
52,0.1,5,TRUE,FALSE,"unanchored",0.7,FALSE,"gcomp","maic_means"
53,0.1,5,TRUE,FALSE,"anchored",-0.1,FALSE,"gcomp","unadjusted"
54,0.1,5,TRUE,FALSE,"unanchored",0.8,FALSE,"maic_index","gcomp"
55,0.1,5,TRUE,FALSE,"anchored",0.153896752812773,TRUE,"gcomp","gcomp"
56,0.1,5,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
57,0.1,5,TRUE,FALSE,"anchored",0.2,TRUE,"gcomp","gcomp"
58,0.1,5,TRUE,FALSE,"unanchored",0.9,TRUE,"gcomp","gcomp"
59,0.1,5,TRUE,FALSE,"anchored",0.1,TRUE,"gcomp","gcomp"
60,0.1,5,TRUE,FALSE,"unanchored",0.9,TRUE,"gcomp","gcomp"
61,0.1,5,TRUE,FALSE,"anchored",-0.0512989176042577,FALSE,"unadjusted","gcomp"
62,0.1,5,TRUE,FALSE,"unanchored",-0.7,FALSE,"maic_meanvar","unadjusted"
63,0.1,5,TRUE,FALSE,"anchored",0.3,TRUE,"gcomp","gcomp"
64,0.1,5,TRUE,FALSE,"unanchored",-0.718184846459608,FALSE,"maic_index","gcomp"
65,0.1,5,TRUE,FALSE,"anchored",0.3,TRUE,"gcomp","gcomp"
66,0.1,5,TRUE,FALSE,"unanchored",0.564288093646835,FALSE,"maic_index","gcomp"
67,0.1,5,TRUE,FALSE,"anchored",0.0512989176042577,FALSE,"gcomp","maic_means"
68,0.1,5,TRUE,FALSE,"unanchored",-0.5,FALSE,"gcomp","maic_means"
69,0.1,5,TRUE,FALSE,"anchored",0.1,FALSE,"gcomp","maic_means"
70,0.1,5,TRUE,FALSE,"unanchored",-0.5,FALSE,"gcomp","maic_means"
71,0.1,5,TRUE,FALSE,"anchored",-0.6,FALSE,"gcomp","unadjusted"
72,0.1,5,TRUE,FALSE,"unanchored",-0.6,FALSE,"maic_index","maic_means"
73,0.1,5,TRUE,FALSE,"anchored",0.1,TRUE,"gcomp","gcomp"
74,0.1,5,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
75,0.1,5,TRUE,FALSE,"anchored",0.2,TRUE,"gcomp","gcomp"
76,0.1,5,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
77,0.1,5,TRUE,FALSE,"anchored",0.2,TRUE,"gcomp","gcomp"
78,0.1,5,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
79,0.1,5,TRUE,FALSE,"anchored",1,TRUE,"gcomp","gcomp"
80,0.1,5,TRUE,FALSE,"unanchored",1,TRUE,"gcomp","gcomp"
81,0.1,5,TRUE,FALSE,"anchored",0.4,TRUE,"gcomp","gcomp"
82,0.1,5,TRUE,FALSE,"unanchored",0.9,TRUE,"gcomp","gcomp"
83,0.1,5,TRUE,FALSE,"anchored",0.1,TRUE,"gcomp","gcomp"
84,0.1,5,TRUE,FALSE,"unanchored",0.3,FALSE,"maic_means","gcomp"
85,0.1,5,TRUE,FALSE,"anchored",0.1,FALSE,"unadjusted","maic_means"
86,0.1,5,TRUE,FALSE,"unanchored",0.3,FALSE,"gcomp","maic_means"
87,0.1,5,TRUE,FALSE,"anchored",0.1,FALSE,"gcomp","maic_means"
88,0.1,5,TRUE,FALSE,"unanchored",0.3,FALSE,"maic_index","maic_means"
89,0.1,5,TRUE,FALSE,"anchored",0.1,FALSE,"gcomp","maic_means"
90,0.1,5,TRUE,FALSE,"unanchored",0.3,FALSE,"maic_index","maic_means"
91,0.1,5,TRUE,TRUE,"anchored",0.1,TRUE,"gcomp","gcomp"
92,0.1,5,TRUE,TRUE,"unanchored",0.7,TRUE,"gcomp","gcomp"
93,0.1,5,TRUE,TRUE,"anchored",0.1,TRUE,"gcomp","gcomp"
94,0.1,5,TRUE,TRUE,"unanchored",0.7,TRUE,"gcomp","gcomp"
95,0.1,5,TRUE,TRUE,"anchored",0.1,TRUE,"gcomp","gcomp"
96,0.1,5,TRUE,TRUE,"unanchored",0.7,FALSE,"gcomp","maic_means"
97,0.1,5,TRUE,FALSE,"anchored",0.9,TRUE,"gcomp","gcomp"
98,0.1,5,TRUE,FALSE,"unanchored",0.9,TRUE,"gcomp","gcomp"
99,0.1,5,TRUE,FALSE,"anchored",0.4,TRUE,"gcomp","gcomp"
100,0.1,5,TRUE,FALSE,"unanchored",0.6,TRUE,"gcomp","gcomp"
101,0.1,5,TRUE,FALSE,"anchored",0.1,TRUE,"gcomp","gcomp"
102,0.1,5,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
103,0.1,5,TRUE,FALSE,"anchored",-0.2,FALSE,"gcomp","maic_means"
104,0.1,5,TRUE,FALSE,"unanchored",0.7,FALSE,"gcomp","maic_means"
105,0.1,5,TRUE,FALSE,"anchored",0,FALSE,"gcomp","maic_means"
106,0.1,5,TRUE,FALSE,"unanchored",0.7,FALSE,"gcomp","maic_means"
107,0.1,5,TRUE,FALSE,"anchored",0.3,FALSE,"gcomp","maic_means"
108,0.1,5,TRUE,FALSE,"unanchored",1,TRUE,"gcomp","gcomp"
1,0.3,5,FALSE,FALSE,"anchored",1,TRUE,"gcomp","gcomp"
2,0.3,5,FALSE,FALSE,"unanchored",0.9,TRUE,"gcomp","gcomp"
3,0.3,5,FALSE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
4,0.3,5,FALSE,FALSE,"unanchored",0.6,TRUE,"gcomp","gcomp"
5,0.3,5,FALSE,FALSE,"anchored",0.1,TRUE,"gcomp","gcomp"
6,0.3,5,FALSE,FALSE,"unanchored",0.9,TRUE,"gcomp","gcomp"
7,0.3,5,FALSE,FALSE,"anchored",0.66688592885535,TRUE,"gcomp","gcomp"
8,0.3,5,FALSE,FALSE,"unanchored",-0.3,FALSE,"maic_index","maic_meanvar"
9,0.3,5,FALSE,FALSE,"anchored",0.3,TRUE,"gcomp","gcomp"
10,0.3,5,FALSE,FALSE,"unanchored",0.820782681668123,TRUE,"gcomp","gcomp"
11,0.3,5,FALSE,FALSE,"anchored",0.8,TRUE,"gcomp","gcomp"
12,0.3,5,FALSE,FALSE,"unanchored",0.9,FALSE,"maic_index","gcomp"
